Index,State,Year,DoY,Event_Label,Event_Obs,Date,Sex,Site,Orchard,Genotype,Tree,X,Y,Source
1589,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1557,NA,DD,24,Rita Wagner
1590,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1557,NA,DD,31,Rita Wagner
1590,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1557,NA,DD,31,Rita Wagner
1591,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1559,NA,BB,48,Rita Wagner
1591,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1559,NA,BB,48,Rita Wagner
1592,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1559,NA,S,1,Rita Wagner
1592,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1559,NA,S,1,Rita Wagner
1593,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1582,NA,CC,8,Rita Wagner
1593,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1582,NA,CC,8,Rita Wagner
1594,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1582,NA,G,48,Rita Wagner
1594,2,2011,158,last_flowering,3,2011-06-07,MALE,PGTIS,220,1582,NA,G,48,Rita Wagner
1594,3,2011,164,past_flowering,4,2011-06-13,MALE,PGTIS,220,1582,NA,G,48,Rita Wagner
1595,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1587,NA,W,1,Rita Wagner
1595,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1587,NA,W,1,Rita Wagner
1596,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1591,NA,DD,36,Rita Wagner
1596,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1591,NA,DD,36,Rita Wagner
1597,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1591,NA,O,1,Rita Wagner
1597,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1591,NA,O,1,Rita Wagner
1598,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1592,NA,DD,38,Rita Wagner
1598,2,2011,164,last_flowering,3,2011-06-13,MALE,PGTIS,220,1592,NA,DD,38,Rita Wagner
1599,2,2011,158,first_flowering,2,2011-06-07,MALE,PGTIS,220,1592,NA,M,45,Rita Wagner
